rep 0: T=52 fixed=0 seeds=[(162, 252, -149), (225, -102, 32), (-19, -153, -79), (-54, 55, -84), (58, -82, 43), (-135, -32, 24), (-1, 109, -10)]
rep 1: T=52 fixed=0 seeds=[(-154, 108, -5), (-136, 44, -140), (17, -233, -24), (54, 19, -8), (-35, 34, 42), (-176, 111, 62), (-43, -38, -74)]
rep 2: T=52 fixed=0 seeds=[(4, 130, -11), (-57, 52, -108), (115, -31, -18), (-37, -146, 29), (83, 143, 5), (-78, 75, -75), (-29, -133, -137)]
rep 3: T=52 fixed=0 seeds=[(-3, 33, 12), (-54, 107, -133), (-104, 91, -53), (-207, -24, -22), (-55, 132, 150), (12, 4, -16), (168, 233, -93)]
rep 4: T=52 fixed=0 seeds=[(-6, 46, -119), (96, 48, 8), (-140, -53, 47), (-11, 146, 43), (-82, 20, -31), (-52, 62, -69), (91, 25, -126)]
rep 5: T=52 fixed=0 seeds=[(162, 252, -149), (225, -102, 32), (-19, -153, -79), (-54, 55, -84), (58, -82, 43), (-135, -32, 24), (-1, 109, -10)]
rep 6: T=52 fixed=0 seeds=[(-154, 108, -5), (-136, 44, -140), (17, -233, -24), (54, 19, -8), (-35, 34, 42), (-176, 111, 62), (-43, -38, -74)]
rep 7: T=52 fixed=0 seeds=[(4, 130, -11), (-57, 52, -108), (115, -31, -18), (-37, -146, 29), (83, 143, 5), (-78, 75, -75), (-29, -133, -137)]
rep 8: T=52 fixed=0 seeds=[(-3, 33, 12), (-54, 107, -133), (-104, 91, -53), (-207, -24, -22), (-55, 132, 150), (12, 4, -16), (168, 233, -93)]
rep 9: T=52 fixed=0 seeds=[(-6, 46, -119), (96, 48, 8), (-140, -53, 47), (-11, 146, 43), (-82, 20, -31), (-52, 62, -69), (91, 25, -126)]
rep 10: T=52 fixed=0 seeds=[(162, 252, -149), (225, -102, 32), (-19, -153, -79), (-54, 55, -84), (58, -82, 43), (-135, -32, 24), (-1, 109, -10)]
rep 11: T=52 fixed=0 seeds=[(-154, 108, -5), (-136, 44, -140), (17, -233, -24), (54, 19, -8), (-35, 34, 42), (-176, 111, 62), (-43, -38, -74)]
rep 12: T=52 fixed=0 seeds=[(4, 130, -11), (-57, 52, -108), (115, -31, -18), (-37, -146, 29), (83, 143, 5), (-78, 75, -75), (-29, -133, -137)]
rep 13: T=52 fixed=0 seeds=[(-3, 33, 12), (-54, 107, -133), (-104, 91, -53), (-207, -24, -22), (-55, 132, 150), (12, 4, -16), (168, 233, -93)]
rep 14: T=52 fixed=0 seeds=[(-6, 46, -119), (96, 48, 8), (-140, -53, 47), (-11, 146, 43), (-82, 20, -31), (-52, 62, -69), (91, 25, -126)]
rep 15: T=52 fixed=0 seeds=[(162, 252, -149), (225, -102, 32), (-19, -153, -79), (-54, 55, -84), (58, -82, 43), (-135, -32, 24), (-1, 109, -10)]
rep 16: T=52 fixed=0 seeds=[(-154, 108, -5), (-136, 44, -140), (17, -233, -24), (54, 19, -8), (-35, 34, 42), (-176, 111, 62), (-43, -38, -74)]
rep 17: T=52 fixed=0 seeds=[(4, 130, -11), (-57, 52, -108), (115, -31, -18), (-37, -146, 29), (83, 143, 5), (-78, 75, -75), (-29, -133, -137)]
rep 18: T=52 fixed=0 seeds=[(-3, 33, 12), (-54, 107, -133), (-104, 91, -53), (-207, -24, -22), (-55, 132, 150), (12, 4, -16), (168, 233, -93)]
rep 19: T=52 fixed=0 seeds=[(-6, 46, -119), (96, 48, 8), (-140, -53, 47), (-11, 146, 43), (-82, 20, -31), (-52, 62, -69), (91, 25, -126)]
rep 20: T=52 fixed=0 seeds=[(162, 252, -149), (225, -102, 32), (-19, -153, -79), (-54, 55, -84), (58, -82, 43), (-135, -32, 24), (-1, 109, -10)]
